index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_Cases,Total_Recovered,Death_Rate,Total_death
23,Brazil,87618.0,1846641,508116,23284.0,614.0,33728,3.59,75.61,4.74,2118646,323729,15.28,2500001.0,1880369,4.0,88232.0
24,Brunei,3.0,138,0,0.0,0.0,0,2.13,97.87,2.17,141,0,0.0,141.0,138,2.0,3.0
25,Bulgaria,347.0,5585,4689,194.0,7.0,230,3.27,52.58,6.21,8929,1692,18.95,11052.0,5815,3.0,354.0
26,Burkina Faso,53.0,926,121,14.0,0.0,6,4.82,84.18,5.72,1065,35,3.29,1120.0,932,5.0,53.0
27,Burma,6.0,292,52,0.0,0.0,2,1.71,83.43,2.05,341,9,2.64,352.0,294,2.0,6.0
28,Burundi,1.0,301,76,17.0,0.0,22,0.26,79.63,0.33,322,56,17.39,417.0,323,0.0,1.0
29,Cabo Verde,22.0,1550,756,21.0,0.0,103,0.95,66.58,1.42,2071,257,12.41,2452.0,1653,1.0,22.0
30,Cambodia,0.0,147,79,1.0,0.0,4,0.0,65.04,0.0,171,55,32.16,231.0,151,0.0,0.0
31,Cameroon,391.0,14539,2180,402.0,6.0,0,2.29,84.97,2.69,16157,953,5.9,17518.0,14539,2.0,397.0
32,Canada,8944.0,0,107514,682.0,11.0,0,7.68,0.0,40.55829670329671,112925,3533,3.13,117151.0,0,8.0,8955.0
33,Central African Republic,59.0,1546,2994,0.0,0.0,0,1.28,33.62,3.82,4548,51,1.12,4599.0,1546,1.0,59.0
34,Chad,75.0,810,37,7.0,0.0,0,8.13,87.85,9.26,889,33,3.71,929.0,810,8.0,75.0
35,Chile,9187.0,319954,18782,2133.0,75.0,1859,2.64,91.96,2.87,333029,14894,4.47,351990.0,321813,3.0,9262.0
36,China,4656.0,78869,3258,213.0,4.0,7,5.37,90.88,5.9,85622,1161,1.36,87007.0,78876,5.0,4660.0
37,Colombia,8777.0,131161,117163,16306.0,508.0,11494,3.41,51.02,6.69,204005,53096,26.03,285409.0,142655,3.0,9285.0
38,Comoros,7.0,328,19,0.0,0.0,0,1.98,92.66,2.13,334,20,5.99,354.0,328,2.0,7.0
39,Congo (Brazzaville),54.0,829,2317,162.0,3.0,73,1.69,25.91,6.51,2851,349,12.24,3438.0,902,2.0,57.0
40,Congo (Kinshasa),208.0,5700,2936,13.0,4.0,190,2.35,64.45,3.65,8443,401,4.75,9051.0,5890,2.0,212.0
41,Costa Rica,115.0,3824,11902,612.0,11.0,88,0.73,24.14,3.01,11534,4307,37.34,16552.0,3912,1.0,126.0
42,Cote d'Ivoire,96.0,10361,5198,59.0,0.0,183,0.61,66.18,0.93,14312,1343,9.38,15897.0,10544,1.0,96.0
43,Croatia,139.0,3936,806,24.0,3.0,70,2.85,80.64,3.53,4370,511,11.69,4978.0,4006,3.0,142.0
44,Cuba,87.0,2351,94,37.0,0.0,2,3.44,92.85,3.7,2446,86,3.52,2571.0,2353,3.0,87.0
45,Cyprus,19.0,852,189,3.0,0.0,0,1.79,80.38,2.23,1038,22,2.12,1063.0,852,2.0,19.0
46,Czechia,373.0,11428,3715,192.0,2.0,0,2.4,73.65,3.26,14098,1418,10.06,15710.0,11428,2.0,375.0
47,Denmark,613.0,12605,543,109.0,0.0,77,4.45,91.6,4.86,13453,308,2.29,13947.0,12682,4.0,613.0
48,Djibouti,58.0,4977,24,1282.7401129943503,30.401129943502823,11,1.15,98.38,1.17,5020,39,0.78,6383.141242937852,4988,1.0,88.40112994350282
49,Dominica,0.0,18,0,0.0,0.0,0,0.0,100.0,0.0,18,0,0.0,18.0,18,0.0,0.0
50,Dominican Republic,1083.0,30204,32869,1248.0,20.0,1601,1.69,47.08,3.59,53956,10200,18.9,67025.0,31805,2.0,1103.0
51,Ecuador,5532.0,34896,40733,467.0,17.0,0,6.82,43.0,15.85,74620,6541,8.77,81645.0,34896,7.0,5549.0
52,Egypt,4652.0,34838,52992,420.0,46.0,1007,5.03,37.67,13.35,88402,4080,4.62,93955.0,35845,5.0,4698.0
53,El Salvador,408.0,7778,6849,405.0,8.0,130,2.71,51.73,5.25,12207,2828,23.17,15578.0,7908,3.0,416.0
54,Equatorial Guinea,51.0,842,2178,0.0,0.0,0,1.66,27.42,6.06,3071,0,0.0,3071.0,842,2.0,51.0
55,Eritrea,0.0,191,74,2.0,0.0,2,0.0,72.08,0.0,251,14,5.58,269.0,193,0.0,0.0
56,Estonia,69.0,1923,42,0.0,0.0,1,3.39,94.54,3.59,2021,13,0.64,2035.0,1924,3.0,69.0
57,Eswatini,34.0,1025,1257,109.0,2.0,39,1.47,44.26,3.32,1826,490,26.83,2466.0,1064,1.0,36.0
58,Ethiopia,228.0,6386,7933,579.0,5.0,170,1.57,43.9,3.57,10207,4340,42.52,15301.0,6556,2.0,233.0
59,Fiji,0.0,18,9,0.0,0.0,0,0.0,66.67,0.0,27,0,0.0,27.0,18,0.0,0.0
60,Finland,329.0,6920,149,5.0,0.0,0,4.45,93.54,4.75,7340,58,0.79,7403.0,6920,4.0,329.0
61,France,30212.0,81212,108928,2551.0,17.0,267,13.71,36.86,37.2,214023,6329,2.96,223187.0,81479,14.0,30229.0
62,Gabon,49.0,4682,2458,205.0,0.0,219,0.68,65.13,1.05,6433,756,11.75,7613.0,4901,1.0,49.0
